Satellite_PRN_number,year,month,day,hour,minute,second,SV_clock_bias,SV_clock_drift,SV_clock_drift_rate,IODE,C_rs,Delta_n,M0,C_uc,e_Eccentricity,C_us,sqrt_A,T_oe,C_ic,OMEGA0,C_is,i0,C_rc,omega,OMEGA_DOT,IDOT,Codes_on_L2_channel,GPS_Week,L2_P,SV_accuracy,SV_health,TGD,IODS,t_tm,Fit_interval
5,22,1,16,9,59,44,-6.81E-05,-1.25E-12,0,4,-111.1875,4.41E-09,1.525965578,-5.76E-06,0.005898487,9.42E-06,5153.65465,35984,-1.43E-07,-0.413037155,-2.24E-08,0.959545184,200.59375,1.012624747,-7.89E-09,3.71E-11,1,2193,0,2,0,-1.12E-08,4,28860,4
7,22,1,16,10,0,0,0.00030224,3.64E-12,0,89,-12.75,4.94E-09,-1.780434795,-7.49E-07,0.015439402,5.25E-06,5153.692358,36000,2.22E-07,1.727221476,-1.71E-07,0.950525442,269.65625,-2.295658108,-7.92E-09,-2.57E-10,1,2193,0,2,0,-1.12E-08,89,28920,4
8,22,1,16,10,0,0,-5.24E-05,-1.59E-12,0,34,136.0625,4.27E-09,1.179771423,7.08E-06,0.007131125,4.51E-06,5153.713911,36000,5.59E-09,-2.488156226,7.45E-08,0.965227866,292.28125,0.080351201,-8.13E-09,1.98E-10,1,2193,0,2,0,5.12E-09,34,28950,4
9,22,1,16,10,0,0,-0.00035775,1.25E-12,0,71,6.15625,4.70E-09,1.512725826,1.77E-07,0.002332247,8.01E-06,5153.635687,36000,1.86E-09,0.654959114,-7.08E-08,0.954037356,218.34375,1.857968239,-7.92E-09,4.61E-10,1,2193,0,2,0,1.40E-09,71,28980,4
16,22,1,16,10,0,0,-0.000456364,-5.46E-12,0,33,78.8125,3.93E-09,1.982303981,3.98E-06,0.012647862,1.14E-05,5153.595789,36000,-2.68E-07,2.858241264,-9.50E-08,0.971007712,166.9375,0.697697863,-7.60E-09,-3.89E-10,1,2193,0,2,0,-1.02E-08,33,29010,4
18,22,1,16,10,0,0,0.000259802,-7.39E-12,0,61,-75.5625,4.47E-09,-0.931967551,-3.96E-06,0.002086903,9.74E-07,5153.629337,36000,-5.59E-09,-1.400266073,2.24E-08,0.970190755,363.375,3.110919931,-8.32E-09,-7.64E-11,1,2193,0,2,0,-8.38E-09,61,29040,4
20,22,1,16,10,0,0,0.000517152,-1.14E-13,0,95,-115.375,4.88E-09,-0.05899393,-5.97E-06,0.005291812,8.10E-06,5153.730782,36000,6.71E-08,-0.526467303,-3.73E-09,0.941672307,213.71875,3.102497059,-8.18E-09,-2.14E-12,1,2193,0,2,0,-8.38E-09,95,29070,4
26,22,1,16,10,0,0,0.000174836,3.41E-12,0,34,57.34375,4.61E-09,2.957078952,2.96E-06,0.006780758,1.08E-05,5153.691481,36000,-5.77E-08,2.716901019,-7.64E-08,0.939224996,160.90625,0.350624818,-7.84E-09,-4.44E-10,1,2193,0,2,0,6.98E-09,34,29100,4
27,22,1,16,10,0,0,7.14E-05,2.15E-11,0,81,131.40625,4.15E-09,1.107808334,6.79E-06,0.010020666,4.56E-06,5153.655685,36000,-6.15E-08,-2.468977765,9.50E-08,0.97389921,297.5,0.630085166,-8.16E-09,1.94E-10,1,2193,0,4,0,1.86E-09,81,29130,4
30,22,1,16,10,0,0,-0.000507087,-2.61E-12,0,87,-15.25,5.33E-09,-1.766331123,-9.18E-07,0.00542411,5.47E-06,5153.582388,36000,-9.31E-09,1.740828078,-8.75E-08,0.935699865,260.09375,-2.75156084,-8.25E-09,-3.03E-10,1,2193,0,2.8,0,3.73E-09,87,29190,4
